,US500,NAS100
1883-06-18,5.584192439862543,5.584192439862543
1883-06-19,5.584192439862543,5.584192439862543
1883-06-20,5.584192439862543,5.584192439862543
1883-06-21,5.584192439862543,5.584192439862543
1883-06-22,5.584192439862543,5.584192439862543
1883-06-25,5.584192439862543,5.584192439862543
1883-06-26,5.584192439862543,5.584192439862543
1883-06-27,5.584192439862543,5.584192439862543
1883-06-28,5.584192439862543,5.584192439862543
1883-06-29,5.584192439862543,5.584192439862543
1883-07-02,5.584192439862543,5.584192439862543
1883-07-03,5.584192439862543,5.584192439862543
1883-07-04,5.584192439862543,5.584192439862543
1883-07-05,5.584192439862543,5.584192439862543
1883-07-06,5.584192439862543,5.584192439862543
1883-07-09,5.584192439862543,5.584192439862543
1883-07-10,5.584192439862543,5.584192439862543
1883-07-11,5.584192439862543,5.584192439862543
1883-07-12,5.584192439862543,5.584192439862543
1883-07-13,5.584192439862543,5.584192439862543
1883-07-16,5.584192439862543,5.584192439862543
1883-07-17,5.584192439862543,5.584192439862543
1883-07-18,5.584192439862543,5.584192439862543
